Notranja številka;Ime merila;Vrsta merila;Lokacija;Frekvenca pregleda (leta);Datum zadnjega pregleda;status; Odgovoren uporabnik 
1;Mikrometer not.20-25 mm;;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
2;Mikrometer not.14-17 mm;;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
3;Mikrometer zun. 0 - 25 mm;;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
4;Pomično merilo dig. 0 - 150 mm;Mitutoyo 500-158-30;Cerkno - merilnica;1,5;27.05.2025;USTREZA;
5;Mikrometer navadni 25 - 40 mm (posebna oblika);;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
6;Pomično merilo z uro 0 - 150 mm;;Planina - navijanje;1,5;17.01.2022;NE USTREZA;
7;Pomično merilo z uro 0 - 150 mm;;Planina - razrez obročev;1,5;6.03.2024;NE USTREZA;
8;Mikrometer zun. 10 - 25 mm (posebna oblika);;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
9;Pomično merilo z uro 0 - 150 mm;;Brusilnica;1,5;6.03.2025;USTREZA;
10;Pomično merilo 0 - 150 mm;;Končna kontrola;1,5;30.09.2025;USTREZA;
11;Števna tehtnica digitalna;;Plastika;2;25.01.2019;;
12;Pomično merilo z uro 0 - 150 mm;;Pisarna;1,5;16.06.2020;;
13;Števna tehtnica digitalna;;Skladišče obroči;2;21.01.2025;USTREZA;
14;Merilna ura;;Planina - brušenje;1,5;26.03.2025;USTREZA;
15;Merilna ura;;Planina - brušenje;1,5;26.03.2025;USTREZA;
16;Tehtnica digitalna 150 kg;;Cerkno - proizvodnja;2;25.10.2024;USTREZA;
17;Merilna ura;;Planina - brušenje;1,5;26.03.2025;USTREZA;
18;Tehtnica digitalna 150 kg;;Cerkno - proizvodnja;2;25.10.2024;USTREZA;
19;Merilna ura;;;;16.06.2020;;
20;Merilna ura;;Planina - brušenje;1,5;30.09.2025;USTREZA;
21;Mikrometer not.16-20 mm;;Planina - kon. obročev;1,5;27.05.2025;USTREZA;
22;Merilna ura - digitalna 0-50 mm;;Cerkno - merilnica;1,5;29.10.2024;USTREZA;
23;Pomično merilo 0-300 mm;;Cerkno - merilnica;1,5;29.10.2024;USTREZA;
24;Mikrometer digitalni 0-25 mm;;Cerkno - merilnica;1,5;27.05.2025;USTREZA;
25;Pomično merilo dolge konice;;Cerkno - merilnica;1,5;27.05.2025;USTREZA;
26;Pomično merilo z uro 0 - 150 mm;;;;;;
27;Merilna ura digitalna 0 - 12,7 mm;;Plastika;1,5;29.10.2024;USTREZA;
28;Merilna ura centrirna;;;;;;
29;Merilna ura ;;Planina - brušenje;1,5;30.09.2025;USTREZA;
30;Merilna ura;;Planina - brušenje;1,5;30.09.2025;USTREZA;
31;Števna tehtnica;;Cerkno - proizvodnja;2;21.01.2025;USTREZA;
32;3D COORD 3 koordinatni stroj;;Cerkno - merilnica;7;24.10.2019;USTREZA;
TP 1647/01;Kontrolnik luknje kontakta tuljavnik;;Cerkno - proizvodnja;1;10/2025;USTREZA;
TP 3434/009;Kontrolnik razdalje med čepi - ležajni jarem;;Cerkno - proizvodnja;1;10/2025;USTREZA;
33;Pomično merilo z uro 0 - 150 mm;;Planina - navitje;1,5;30.09.2025;USTREZA;
34;Moment izvijač 150 Ncm;;Cerkno - merilnica;7;10.02.2021;USTREZA;
35;Balanserka;;Cerkno - merilnica;;;USTREZA;
36;Silomer SAUTER FH5K;;Cerkno - merilnica;7;10.02.2021;USTREZA;
37;Profil projektor Mitutoyo;PJ 311;Cerkno - merilnica;7;10.02.2021;USTREZA;
38;Števna tehtnica digitalna;;Plastika - pakirno mesto;2;23.01.2024;USTREZA;
39;Pomično merilo z uro 0 - 150 mm;Mitutoyo 505-732;Planina - brusilnica;1,5;30.09.2025;USTREZA;
40;Pomično merilo z uro 0 - 150 mm;Mitutoyo 505-732;Cerkno - merilno mesto pr.;1,5;27.05.2025;USTREZA;
41;Tehtnica digitalna 15 kg ;Jadever (1PWN-7515);Planina - priprava smole;2;21.01.2025;USTREZA;
42;Merilec vlage v materialu;Radwag MA50/1R;Cerkno - merilnica;5;9.04.2021;USTREZA;
43;Pomično merilo z uro 0 - 150 mm;Mitutoyo 505-732;Planina - rezanje cevi;1,5;26.03.2025;USTREZA;
44;Merilna ura Mitutoyo;513-415-10;Cerkno - proizvodnja;1,5;30.09.2025;USTREZA;
45;Pomično merilo z uro 0 - 150 mm;Mitutoyo 505-732;Planina - navitje;1,5;22.01.2025;USTREZA;
;;;;;30.09.2025;;
